city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Contagem,Contagem,-19.9319,-44.0539,Brazil,BR,BRA,Minas Gerais,,648766,1076845191
Sorocaba,Sorocaba,-23.5019,-47.4578,Brazil,BR,BRA,São Paulo,,644919,1076758708
Aracaju,Aracaju,-10.9167,-37.0500,Brazil,BR,BRA,Sergipe,admin,632744,1076527830
Cochabamba,Cochabamba,-17.3935,-66.1570,Bolivia,BO,BOL,Cochabamba,admin,632013,1068793894
Feira de Santana,Feira de Santana,-12.2669,-38.9669,Brazil,BR,BRA,Bahia,,617528,1076892244
San Miguel de Tucumán,San Miguel de Tucuman,-26.8167,-65.2167,Argentina,AR,ARG,Tucumán,admin,605767,1032233996
Uberlândia,Uberlandia,-18.9189,-48.2769,Brazil,BR,BRA,Minas Gerais,,604013,1076495001
Mar del Plata,Mar del Plata,-38.0000,-57.5500,Argentina,AR,ARG,Buenos Aires,minor,593337,1032456103
Pereira,Pereira,4.8143,-75.6946,Colombia,CO,COL,Risaralda,admin,590554,1170386718
Cuiabá,Cuiaba,-15.5958,-56.0969,Brazil,BR,BRA,Mato Grosso,admin,585367,1076112309
Bucaramanga,Bucaramanga,7.1186,-73.1161,Colombia,CO,COL,Santander,admin,581130,1170940590
Puente Alto,Puente Alto,-33.6167,-70.5833,Chile,CL,CHL,Región Metropolitana,minor,573935,1152516346
Ciudad Bolívar,Ciudad Bolivar,8.1167,-63.5500,Venezuela,VE,VEN,Bolívar,admin,567953,1862318264
Juiz de Fora,Juiz de Fora,-21.7500,-43.3500,Brazil,BR,BRA,Minas Gerais,,555284,1076006144
Chiclayo,Chiclayo,-6.7630,-79.8366,Peru,PE,PER,Lambayeque,admin,552508,1604799615
Londrina,Londrina,-23.3100,-51.1628,Brazil,BR,BRA,Paraná,,548249,1076723241
Valledupar,Valledupar,10.4603,-73.2597,Colombia,CO,COL,Cesar,admin,544134,1170481949
Ibagué,Ibague,4.4378,-75.2006,Colombia,CO,COL,Tolima,admin,541101,1170245063
Salta,Salta,-24.7883,-65.4106,Argentina,AR,ARG,Salta,admin,535303,1032926124
Villavicencio,Villavicencio,4.1425,-73.6294,Colombia,CO,COL,Meta,admin,527668,1170426927
Santa Teresa del Tuy,Santa Teresa del Tuy,10.2333,-66.6500,Venezuela,VE,VEN,Miranda,minor,525321,1862528581
Maipú,Maipu,-33.5167,-70.7667,Chile,CL,CHL,Región Metropolitana,,521627,1152583016
Soacha,Soacha,4.5781,-74.2144,Colombia,CO,COL,Cundinamarca,minor,522442,1170512000
Santa Marta,Santa Marta,11.2361,-74.2017,Colombia,CO,COL,Magdalena,admin,515556,1170715594
Joinvile,Joinvile,-26.3039,-48.8458,Brazil,BR,BRA,Santa Catarina,,515288,1076050637
Maturín,Maturin,9.7457,-63.1832,Venezuela,VE,VEN,Monagas,admin,514046,1862546949
Ananindeua,Ananindeua,-1.3658,-48.3719,Brazil,BR,BRA,Pará,,510834,1076025295
Montería,Monteria,8.7600,-75.8856,Colombia,CO,COL,Córdoba,admin,505334,1170855299
Niterói,Niteroi,-22.8833,-43.1036,Brazil,BR,BRA,Rio de Janeiro,,496696,1076501425
Chimbote,Chimbote,-9.0745,-78.5936,Peru,PE,PER,Ancash,,497875,1604199858
Serra,Serra,-20.1289,-40.3078,Brazil,BR,BRA,Espírito Santo,,485376,1076191325
Florianópolis,Florianopolis,-27.5933,-48.5530,Brazil,BR,BRA,Santa Catarina,admin,477798,1076190259
San Juan,San Juan,-31.5375,-68.5364,Argentina,AR,ARG,San Juan,admin,471389,1032869625
Vila Velha,Vila Velha,-20.3364,-40.2936,Brazil,BR,BRA,Espírito Santo,,472762,1076404077
Macapá,Macapa,0.0330,-51.0653,Brazil,BR,BRA,Amapá,admin,474706,1076189884
Piura,Piura,-5.2008,-80.6253,Peru,PE,PER,Piura,admin,473025,1604331641
Lanús,Lanus,-34.7000,-58.4000,Argentina,AR,ARG,Buenos Aires,minor,459263,1032009573
Campos,Campos,-21.7539,-41.3239,Brazil,BR,BRA,Rio de Janeiro,,463731,1076606365
Mauá,Maua,-23.6678,-46.4608,Brazil,BR,BRA,São Paulo,,453286,1076477498
Barcelona,Barcelona,10.1333,-64.6833,Venezuela,VE,VEN,Anzoátegui,admin,448016,1862418619
São José do Rio Prêto,Sao Jose do Rio Preto,-20.8200,-49.3789,Brazil,BR,BRA,São Paulo,,442548,1076760827
Caxias do Sul,Caxias do Sul,-29.1678,-51.1789,Brazil,BR,BRA,Rio Grande do Sul,,435564,1076809957
Santos,Santos,-23.9608,-46.3339,Brazil,BR,BRA,São Paulo,,433966,1076033299
Manizales,Manizales,5.0661,-75.4847,Colombia,CO,COL,Caldas,admin,434403,1170930654
Cusco,Cusco,-13.5222,-71.9833,Peru,PE,PER,Cusco,admin,428450,1604162901
Porto Velho,Porto Velho,-8.7619,-63.9039,Brazil,BR,BRA,Rondônia,admin,428527,1076045591
Florencio Varela,Florencio Varela,-34.8167,-58.2833,Argentina,AR,ARG,Buenos Aires,,426005,1032730758
Mogi das Cruzes,Mogi das Cruzes,-23.5228,-46.1931,Brazil,BR,BRA,São Paulo,,424633,1076857883
Diadema,Diadema,-23.6858,-46.6228,Brazil,BR,BRA,São Paulo,,412428,1076867279
Buenaventura,Buenaventura,3.8772,-77.0267,Colombia,CO,COL,Valle del Cauca,minor,423927,1170287988
Rio Branco,Rio Branco,-9.9781,-67.8117,Brazil,BR,BRA,Acre,admin,413418,1076391263
Maracay,Maracay,10.2469,-67.5958,Venezuela,VE,VEN,Aragua,admin,407109,1862284350
Santa Fe,Santa Fe,-31.6333,-60.7000,Argentina,AR,ARG,Santa Fe,admin,405683,1032817575
Campina Grande,Campina Grande,-7.2306,-35.8811,Brazil,BR,BRA,Paraíba,,405072,1076218697
Maringá,Maringa,-23.4250,-51.9389,Brazil,BR,BRA,Paraná,,403063,1076013378
Carapicuíba,Carapicuiba,-23.5228,-46.8358,Brazil,BR,BRA,São Paulo,,392294,1076874103
Jundiaí,Jundiai,-23.1864,-46.8842,Brazil,BR,BRA,São Paulo,,401896,1076998392
Olinda,Olinda,-8.0089,-34.8550,Brazil,BR,BRA,Pernambuco,,389494,1076784718
Piracicaba,Piracicaba,-22.7253,-47.6492,Brazil,BR,BRA,São Paulo,,391449,1076166252
Pasto,Pasto,1.2100,-77.2747,Colombia,CO,COL,Nariño,admin,382236,1170320545
Huancayo,Huancayo,-12.0667,-75.2167,Peru,PE,PER,Junín,admin,378203,1604249985
Betim,Betim,-19.9678,-44.1978,Brazil,BR,BRA,Minas Gerais,,378089,1076953384
Iquitos,Iquitos,-3.7333,-73.2500,Peru,PE,PER,Loreto,admin,377609,1604493809
